Year,Nominees,White Nominees,Actors,White Actors
1929,5,5,394,382
1930,11,11,310,294
1931,10,10,392,376
1932,10,10,449,430
1933,6,6,477,454
1934,6,6,574,549
1935,7,7,602,583
1936,11,10,678,653
1937,20,20,719,688
1938,20,20,837,807
1939,19,19,826,791
1940,20,19,810,782
1941,20,20,786,759
1942,20,20,842,811
1943,19,19,840,805
1944,20,20,801,763
1945,19,19,822,787
1946,20,20,762,732
1947,20,20,861,833
1948,20,20,953,913
1949,20,19,993,956
1950,20,19,948,917
1951,20,19,1022,984
1952,20,20,989,962
1953,20,19,1002,969
1954,20,20,939,898
1955,20,18,896,856
1956,20,20,980,949
1957,20,19,1002,960
1958,20,17,1047,1007
1959,20,19,1010,977
1960,20,19,936,886
1961,20,20,937,890
1962,20,19,901,857
1963,20,19,891,851
1964,20,19,892,853
1965,20,19,932,891
1966,20,20,990,938
1967,20,18,983,929
1968,20,18,982,924
1969,20,20,1077,992
1970,10,9,1021,949
1971,20,18,956,892
1972,20,19,988,920
1973,20,17,984,888
1974,20,20,1087,975
1975,20,19,946,849
1976,20,20,921,829
1977,20,20,1042,944
1978,20,20,1014,938
1979,20,20,1172,1063
1980,20,20,1124,1024
1981,20,20,1162,1074
1982,20,19,1163,1053
1983,19,17,1084,983
1984,20,19,1207,1085
1985,20,16,1268,1119
1986,20,16,1374,1223
1987,20,19,1399,1229
1988,20,17,1499,1318
1989,19,18,1577,1374
1990,20,18,1625,1419
1991,20,18,1616,1422
1992,20,18,1623,1393
1993,19,17,1758,1519
1994,18,15,2014,1720
1995,20,17,2163,1860
1996,20,20,2277,1952
1997,20,18,2375,2054
1998,20,20,2377,2026
1999,20,20,2543,2147
2000,20,18,2537,2170
2001,20,18,2630,2205
2002,20,16,2791,2376
2003,19,17,2823,2361
2004,20,14,2804,2339
2005,19,14,2912,2402
2006,20,18,3223,2721
2007,20,12,3253,2708
2008,19,17,3305,2772
2009,20,17,3156,2629
2010,20,16,3365,2745
2011,20,18,3092,2590
2012,20,16,3143,2639
2013,20,18,3263,2683
2014,20,17,3294,2719
2015,20,20,2956,2465
